,SOIL1,SOIl2,SOIL3,SOIL4,PV1,PV2,NPV
686,0.133154824376106,0.137201026082039,0.464611053466797,0.560872197151184,0.029147591441869736,0.06370893865823746,0.060933373868465424
693,0.135309845209122,0.139036446809769,0.473279923200607,0.567980706691742,0.04090578481554985,0.0687265619635582,0.07244732230901718
700,0.137469679117203,0.140992999076843,0.48206889629364,0.574895262718201,0.06688610464334488,0.07339166849851608,0.09452435374259949
708,0.139967650175095,0.143310338258743,0.492002069950104,0.582592487335205,0.1037406399846077,0.07338157296180725,0.11979878693819046
715,0.142161995172501,0.145327568054199,0.500469148159027,0.589124381542206,0.14789888262748718,0.07092361897230148,0.1460505574941635
723,0.144680947065353,0.147662624716759,0.509463787078857,0.596458613872528,0.21112903952598572,0.06670082360506058,0.1740671843290329
730,0.146909013390541,0.14977665245533,0.516598045825958,0.602756321430206,0.28447023034095764,0.06579991430044174,0.20072494447231293
738,0.149332895874977,0.152222961187363,0.523558855056763,0.609636962413788,0.36105725169181824,0.06602790951728821,0.22202660143375397
745,0.151480436325073,0.154420241713524,0.52856308221817,0.615493059158325,0.4291751980781555,0.0723910704255104,0.23949848115444183
753,0.153909593820572,0.156982958316803,0.532835781574249,0.622089028358459,0.4664589762687683,0.07294822484254837,0.24707864224910736
760,0.155917823314667,0.159300044178963,0.535399198532104,0.627520084381104,0.48719173669815063,0.07331854104995728,0.2536216080188751
768,0.158136233687401,0.161974966526031,0.5368532538414,0.633524358272552,0.5008853673934937,0.07372836023569107,0.25783368945121765
775,0.160079300403595,0.164365783333778,0.537034630775452,0.638541519641876,0.5109411478042603,0.07399213314056396,0.2631831765174866
782,0.161903470754623,0.166806578636169,0.536381661891937,0.643285095691681,0.5175268650054932,0.0741625428199768,0.26787054538726807
790,0.163990125060081,0.169662430882454,0.534704387187958,0.648389458656311,0.5229002237319946,0.07427246123552322,0.2725484073162079
797,0.165669783949852,0.172206342220306,0.532735109329224,0.652678072452545,0.5279099941253662,0.07435455173254013,0.27719447016716003
805,0.167517453432083,0.175137981772423,0.530003130435944,0.657301843166351,0.532376766204834,0.0743924006819725,0.28181129693984985
812,0.169065043330193,0.177781775593758,0.527355372905731,0.661214530467987,0.5351168513298035,0.07439365983009338,0.2858242988586426
820,0.170748353004456,0.180881783366203,0.524301290512085,0.665364265441895,0.5381634831428528,0.07438743859529495,0.29001179337501526
827,0.172143071889877,0.183575853705406,0.521684288978577,0.668824970722198,0.540919303894043,0.07439352571964264,0.2941130995750427
835,0.173606932163239,0.186771273612976,0.519037306308746,0.672419667243958,0.5435158610343933,0.07438471168279648,0.29812371730804443
842,0.174805477261543,0.189599677920341,0.517177164554596,0.675445437431335,0.5466655492782593,0.0743798092007637,0.30233681201934814
850,0.17609991133213,0.192782342433929,0.515524864196777,0.678723633289337,0.5494105219841003,0.07436791807413101,0.3062422573566437
857,0.177141815423965,0.195692986249924,0.514753937721252,0.681486666202545,0.5519994497299194,0.07436779886484146,0.31005510687828064
865,0.178327366709709,0.199025645852089,0.514357089996338,0.684552431106567,0.5544828772544861,0.07434798032045364,0.3138832747936249
872,0.179280504584312,0.201972827315331,0.514858365058899,0.687112510204315,0.5564913153648376,0.07434799522161484,0.31757307052612305
879,0.180148378014565,0.204939916729927,0.515980362892151,0.68955796957016,0.5582031607627869,0.0743514895439148,0.32128915190696716
887,0.181110918521881,0.208499476313591,0.518192827701569,0.692453384399414,0.5596785545349121,0.07435545325279236,0.32495737075805664
894,0.181952267885208,0.211614519357681,0.520681619644165,0.695031583309174,0.5595136880874634,0.07433279603719711,0.32872822880744934
902,0.182813957333565,0.215176224708557,0.524468302726746,0.697890818119049,0.5593268871307373,0.07433652877807617,0.33235713839530945
909,0.183511078357697,0.218446537852287,0.528331756591797,0.700264573097229,0.559550940990448,0.07433521002531052,0.33600062131881714
917,0.184315264225006,0.222081661224365,0.533629834651947,0.703125715255737,0.5585572719573975,0.07434351742267609,0.3391026258468628
924,0.184955775737762,0.225240007042885,0.538926243782043,0.705672740936279,0.5561408400535583,0.0743340477347374,0.34204569458961487
