,SOIL1,SOIl2,SOIL3,SOIL4,PV1,NPV,PV2
656,0.124433100223541,0.129355758428574,0.429628759622574,0.527531981468201,0.03328417241573334,0.15321658551692963,0.14419113099575043
663,0.126409187912941,0.131145566701889,0.437504082918167,0.535769879817963,0.03082186169922352,0.15613938868045807,0.1465224176645279
671,0.128707394003868,0.133209094405174,0.446621268987656,0.544884860515594,0.02946636639535427,0.1607341170310974,0.14290045201778412
678,0.130764171481133,0.135063633322716,0.454956442117691,0.552535831928253,0.029352452605962753,0.16432863473892212,0.1424286812543869
686,0.133154824376106,0.137201026082039,0.464611053466797,0.560872197151184,0.032062072306871414,0.16798366606235504,0.14306218922138214
693,0.135309845209122,0.139036446809769,0.473279923200607,0.567980706691742,0.04643075168132782,0.1764356940984726,0.15589633584022522
700,0.137469679117203,0.140992999076843,0.48206889629364,0.574895262718201,0.07866115868091583,0.19205793738365173,0.17298704385757446
708,0.139967650175095,0.143310338258743,0.492002069950104,0.582592487335205,0.12078551948070526,0.20641833543777466,0.1925390660762787
715,0.142161995172501,0.145327568054199,0.500469148159027,0.589124381542206,0.17014452815055847,0.22145676612854004,0.21012839674949646
723,0.144680947065353,0.147662624716759,0.509463787078857,0.596458613872528,0.23209050297737122,0.23347601294517517,0.22780457139015198
730,0.146909013390541,0.14977665245533,0.516598045825958,0.602756321430206,0.3019807040691376,0.24544602632522583,0.24210454523563385
738,0.149332895874977,0.152222961187363,0.523558855056763,0.609636962413788,0.3697770833969116,0.25905418395996094,0.25804054737091064
745,0.151480436325073,0.154420241713524,0.52856308221817,0.615493059158325,0.425664484500885,0.26811203360557556,0.2764131426811218
753,0.153909593820572,0.156982958316803,0.532835781574249,0.622089028358459,0.4553092122077942,0.27520304918289185,0.28433334827423096
760,0.155917823314667,0.159300044178963,0.535399198532104,0.627520084381104,0.4730706810951233,0.2811093330383301,0.28752827644348145
768,0.158136233687401,0.161974966526031,0.5368532538414,0.633524358272552,0.483379065990448,0.287082701921463,0.2908729016780853
775,0.160079300403595,0.164365783333778,0.537034630775452,0.638541519641876,0.49288707971572876,0.2946426570415497,0.2929394543170929
782,0.161903470754623,0.166806578636169,0.536381661891937,0.643285095691681,0.4991491436958313,0.3004802167415619,0.29420971870422363
790,0.163990125060081,0.169662430882454,0.534704387187958,0.648389458656311,0.5048710107803345,0.3062705993652344,0.2953106760978699
797,0.165669783949852,0.172206342220306,0.532735109329224,0.652678072452545,0.5101084113121033,0.3119853734970093,0.2962316572666168
805,0.167517453432083,0.175137981772423,0.530003130435944,0.657301843166351,0.5150476694107056,0.3175291419029236,0.2968303859233856
812,0.169065043330193,0.177781775593758,0.527355372905731,0.661214530467987,0.5187761187553406,0.32275986671447754,0.2964269816875458
820,0.170748353004456,0.180881783366203,0.524301290512085,0.665364265441895,0.5225552320480347,0.32793891429901123,0.2958717942237854
827,0.172143071889877,0.183575853705406,0.521684288978577,0.668824970722198,0.5260874629020691,0.3331875801086426,0.2951185405254364
835,0.173606932163239,0.186771273612976,0.519037306308746,0.672419667243958,0.5294293165206909,0.3383202850818634,0.2942834794521332
842,0.174805477261543,0.189599677920341,0.517177164554596,0.675445437431335,0.5332840085029602,0.3434737026691437,0.29367274045944214
850,0.17609991133213,0.192782342433929,0.515524864196777,0.678723633289337,0.5369302034378052,0.34834161400794983,0.29290053248405457
857,0.177141815423965,0.195692986249924,0.514753937721252,0.681486666202545,0.5403327345848083,0.3529835343360901,0.2922646105289459
865,0.178327366709709,0.199025645852089,0.514357089996338,0.684552431106567,0.5437632203102112,0.3577919602394104,0.29161402583122253
